Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Artwork frame material (product.metafields.shopify.artwork-frame-material),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Format supported (product.metafields.shopify.format-supported),Frame style (product.metafields.shopify.frame-style),Material (product.metafields.shopify.material),Mounting type (product.metafields.shopify.mounting-type),Orientation (product.metafields.shopify.orientation),Shape (product.metafields.shopify.shape),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ramka-drewniana-biala-50x70-cm,White Wood Frame 50x70 cm,"<h2 data-path-to-node=""3"">⚪ Klasyczna Biała Ramka Drewniana 50x70 cm – Skandynawska Świeżość</h2>
<p data-path-to-node=""4"">Odkryj siłę naturalnego drewna w wydaniu, które rozświetli Twój dom. Biała ramka w formacie 50x70 cm to idealny wybór dla tych, którzy szukają <b data-index-in-node=""143"" data-path-to-node=""4"">równowagi między solidnością a lekkością wizualną</b>. Jej matowe wykończenie i widoczna struktura drewna dodają wnętrzu przytulności i nowoczesnego sznytu.</p>
<h3 data-path-to-node=""5"">✨ Dlaczego ta ramka to strzał w dziesiątkę?</h3>
<ul data-path-to-node=""6"">
<li>
<p data-path-to-node=""6,0,0""><b data-index-in-node=""0"" data-path-to-node=""6,0,0"">Naturalne Drewno:</b> To nie jest plastikowa imitacja. Solidny profil z prawdziwego drewna gwarantuje sztywność ramy nawet przy tak dużym formacie.</p>
</li>
<li>
<p data-path-to-node=""6,1,0""><b data-index-in-node=""0"" data-path-to-node=""6,1,0"">Format Plakatowy (50x70):</b> Idealnie skrojona pod standardowe wymiary plakatów, map i wielkoformatowych fotografii.</p>
</li>
<li>
<p data-path-to-node=""6,2,0""><b data-index-in-node=""0"" data-path-to-node=""6,2,0"">Bezpieczna i Lekka:</b> Wyposażona w wysokiej jakości <b data-index-in-node=""50"" data-path-to-node=""6,2,0"">plexi premium</b>. Dzięki niej ramka jest lżejsza i bezpieczniejsza przy montażu na ścianie niż wersje ze zwykłym szkłem, przy zachowaniu tej samej przejrzystości.</p>
</li>
<li>
<p data-path-to-node=""6,3,0""><b data-index-in-node=""0"" data-path-to-node=""6,3,0"">Szwajcarska Precyzja:</b> Wyprodukowana w Europie z dbałością o każdy kąt i łączenie. To jakość, którą widać od razu po wyjęciu z opakowania.</p>
</li>
<li>
<p data-path-to-node=""6,4,0""><b data-index-in-node=""0"" data-path-to-node=""6,4,0"">Gotowa do zawieszenia:</b> Wyposażona w solidne zawieszki, które pozwalają na ekspozycję w pionie lub poziomie.</p>
</li>
</ul>
<hr data-path-to-node=""7"">
<h3 data-path-to-node=""8"">🖼️ Inspiracje – jak wykorzystać format 50x70?</h3>
<ul data-path-to-node=""9"">
<li>
<p data-path-to-node=""9,0,0""><b data-index-in-node=""0"" data-path-to-node=""9,0,0"">Centrum Salonu:</b> Wielki plakat nad sofą, który zdefiniuje charakter pokoju.</p>
</li>
<li>
<p data-path-to-node=""9,1,0""><b data-index-in-node=""0"" data-path-to-node=""9,1,0"">Biuro w stylu Scandi:</b> Czysta, biała oprawa dla dyplomów, certyfikatów lub map motywacyjnych.</p>
</li>
<li>
<p data-path-to-node=""9,2,0""><b data-index-in-node=""0"" data-path-to-node=""9,2,0"">Galeria Wspomnień:</b> Powiększone zdjęcie z sesji rodzinnej lub ślubnej.</p>
</li>
</ul>
<hr data-path-to-node=""10"">
<h3 data-path-to-node=""11"">📐 Specyfikacja Techniczna:</h3>
<ul data-path-to-node=""12"">
<li>
<p data-path-to-node=""12,0,0""><b data-index-in-node=""0"" data-path-to-node=""12,0,0"">Wymiary wewnętrzne:</b> 50 × 70 cm</p>
</li>
<li>
<p data-path-to-node=""12,1,0""><b data-index-in-node=""0"" data-path-to-node=""12,1,0"">Materiał ramy:</b> Naturalne drewno</p>
</li>
<li>
<p data-path-to-node=""12,2,0""><b data-index-in-node=""0"" data-path-to-node=""12,2,0"">Kolor:</b> Matowa biel (z delikatną strukturą drewna)</p>
</li>
<li>
<p data-path-to-node=""12,3,0""><b data-index-in-node=""0"" data-path-to-node=""12,3,0"">Osłona:</b> Bezpieczna plexi premium (z obustronną folią ochronną)</p>
</li>
<li>
<p data-path-to-node=""12,4,0""><b data-index-in-node=""0"" data-path-to-node=""12,4,0"">Montaż:</b> Ścienny (pion / poziom)</p>
</li>
<li>
<p data-path-to-node=""12,5,0""><b data-index-in-node=""0"" data-path-to-node=""12,5,0"">Produkcja:</b> Szwajcaria 🇨🇭</p>
</li>
</ul>
<hr data-path-to-node=""13"">
<h3 data-path-to-node=""14"">💡 Ważna wskazówka:</h3>
<p data-path-to-node=""15"">Duży format wymaga idealnej przejrzystości. Przed umieszczeniem plakatu w ramie, <b data-index-in-node=""81"" data-path-to-node=""15"">usuń folię ochronną z obu stron plexi</b>. Dzięki temu Twoja grafika odzyska pełne nasycenie barw i kontrast, bez zbędnych odblasków.</p>",REXIMPRIMIS,Home & Garden > Decor > Picture Frames,ramka,"color_white, material_wood, size_50x70, style_minimal, style_modern, style_scandinavian, tier_premium, type_frame, use_photo, use_poster, white_size_50x70",false,Title,Default Title,,,,,,,,F655033-5070,400.0,shopify,31,deny,manual,79.00,,true,true,,,,,5901912670600,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/white50x70_2.jpg?v=1775751352,1,"",false,,,drewno; wood,biale; white,drewno; akryl; wood; acrylic,50-x-70,nowoczesna; skandynawska; premium; loft,,powieszenie; sciana; hanging; wall,pozioma; pionowa; horizontal; vertical,prostokatna; rectangular,,,kg,,,active
ramka-drewniana-biala-50x70-cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/white50x70.png?v=1775751352,2,"",,,,,,,,,,,,,,,,,,
ramka-drewniana-biala-50x70-cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/ramka-biala-drew-corner.png?v=1775751352,3,"",,,,,,,,,,,,,,,,,,
ramka-drewniana-biala-40x50-cm,White Wood Frame 40x50 cm,"<h2 data-path-to-node=""3"">⚪ Klasyczna Biała Ramka Drewniana 40x50 cm – Harmonia i Naturalność</h2>
<p data-path-to-node=""4"">Wprowadź do swojego wnętrza spokój i skandynawską lekkość. Biała, drewniana ramka o wymiarach 40x50 cm to <b data-path-to-node=""4"" data-index-in-node=""106"">uniwersalna klasyka</b>, która nigdy nie wychodzi z mody. Wykonana z prawdziwego drewna, stanowi szlachetną alternatywę dla plastikowych opraw, dodając Twoim grafikom naturalnego wdzięku.</p>
<h3 data-path-to-node=""5"">✨ Dlaczego ta ramka to doskonały wybór?</h3>
<ul data-path-to-node=""6"">
<li>
<p data-path-to-node=""6,0,0""><b data-path-to-node=""6,0,0"" data-index-in-node=""0"">Prawdziwe Drewno:</b> Solidna konstrukcja z naturalnego surowca gwarantuje trwałość i szlachetny wygląd, którego nie zastąpi żadne tworzywo sztuczne.</p>
</li>
<li>
<p data-path-to-node=""6,1,0""><b data-path-to-node=""6,1,0"" data-index-in-node=""0"">Matowe Wykończenie:</b> Delikatna, biała powłoka o matowej strukturze idealnie eksponuje zawartość, nie odbijając nadmiernie światła i pasując do każdej kolorystyki ścian.</p>
</li>
<li>
<p data-path-to-node=""6,2,0""><b data-path-to-node=""6,2,0"" data-index-in-node=""0"">Idealny Format:</b> Wymiar 40x50 cm to jeden z najchętniej wybieranych formatów – doskonały do średniej wielkości plakatów, autorskich grafik czy powiększonych fotografii.</p>
</li>
<li>
<p data-path-to-node=""6,3,0""><b data-path-to-node=""6,3,0"" data-index-in-node=""0"">Bezpieczeństwo i Lekkość:</b> Dzięki zastosowaniu <b data-path-to-node=""6,3,0"" data-index-in-node=""46"">plexi premium</b>, ramka jest lekka i odporna na stłuczenia. To kluczowe przy montażu ściennym – mniejsze obciążenie dla haczyka i pełne bezpieczeństwo domowników.</p>
</li>
<li>
<p data-path-to-node=""6,4,0""><b data-path-to-node=""6,4,0"" data-index-in-node=""0"">Europejska Jakość:</b> Szwajcarska precyzja wykonania zapewnia idealne łączenia i dbałość o każdy detal.</p>
</li>
</ul>
<hr data-path-to-node=""7"">
<h3 data-path-to-node=""8"">🖼️ Inspiracje – gdzie zaprezentuje się najlepiej?</h3>
<ul data-path-to-node=""9"">
<li>
<p data-path-to-node=""9,0,0""><b data-path-to-node=""9,0,0"" data-index-in-node=""0"">Salon lub Sypialnia:</b> Jako centralny punkt nad komodą lub stolikiem nocnym.</p>
</li>
<li>
<p data-path-to-node=""9,1,0""><b data-path-to-node=""9,1,0"" data-index-in-node=""0"">Pokoje Dziecięce:</b> Bezpieczna (dzięki plexi) i estetyczna oprawa dla bajkowych ilustracji.</p>
</li>
<li>
<p data-path-to-node=""9,2,0""><b data-path-to-node=""9,2,0"" data-index-in-node=""0"">Galerie Schodowe:</b> Idealny rozmiar do tworzenia rytmicznych kompozycji wzdłuż ciągu komunikacyjnego.</p>
</li>
</ul>
<hr data-path-to-node=""10"">
<h3 data-path-to-node=""11"">📐 Specyfikacja Techniczna:</h3>
<ul data-path-to-node=""12"">
<li>
<p data-path-to-node=""12,0,0""><b data-path-to-node=""12,0,0"" data-index-in-node=""0"">Wymiary wewnętrzne:</b> 40 × 50 cm</p>
</li>
<li>
<p data-path-to-node=""12,1,0""><b data-path-to-node=""12,1,0"" data-index-in-node=""0"">Materiał ramy:</b> Naturalne drewno</p>
</li>
<li>
<p data-path-to-node=""12,2,0""><b data-path-to-node=""12,2,0"" data-index-in-node=""0"">Kolor:</b> Klasyczna biel</p>
</li>
<li>
<p data-path-to-node=""12,3,0""><b data-path-to-node=""12,3,0"" data-index-in-node=""0"">Osłona:</b> Bezpieczna plexi premium (z obustronną folią ochronną)</p>
</li>
<li>
<p data-path-to-node=""12,4,0""><b data-path-to-node=""12,4,0"" data-index-in-node=""0"">Montaż:</b> Ścienny (pion / poziom)</p>
</li>
<li>
<p data-path-to-node=""12,5,0""><b data-path-to-node=""12,5,0"" data-index-in-node=""0"">Pochodzenie:</b> Szwajcaria 🇨🇭</p>
</li>
</ul>
<hr data-path-to-node=""13"">
<h3 data-path-to-node=""14"">💡 Ważna informacja:</h3>
<p data-path-to-node=""15"">Aby uzyskać idealną przejrzystość, <b data-path-to-node=""15"" data-index-in-node=""35"">należy usunąć folię ochronną z obu stron plexi</b>. Po jej zdjęciu ramka odzyska swój pełny blask, a kolory Twojego zdjęcia staną się nasycone i wyraźne.</p>",REXIMPRIMIS,Home & Garden > Decor > Picture Frames,ramka,"color_white, material_wood, size_40x50, style_minimal, style_modern, style_scandinavian, tier_premium, type_frame, use_photo, use_poster, white_size_40x50",false,Title,Default Title,,,,,,,,F655033-4050,1.0,shopify,79,deny,manual,54.00,,true,true,,,,,5901912670594,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/589.jpg?v=1775235918,1,"",false,,,drewno; wood,biale; white,drewno; akryl; wood; acrylic,40-x-50-cm,nowoczesna; skandynawska; premium; loft,,powieszenie; sciana; hanging; wall,pozioma; pionowa; horizontal; vertical,prostokatna; rectangular,,,kg,,,active
ramka-drewniana-biala-40x50-cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/white40x50.png?v=1775751198,2,"",,,,,,,,,,,,,,,,,,
ramka-drewniana-biala-40x50-cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/white13x18_2.png?v=1775751150,3,"",,,,,,,,,,,,,,,,,,
ramka-drewniana-biala-30x40-cm,White Wood Frame 30x40 cm,"<p data-path-to-node=""1""> </p>
<h2 data-path-to-node=""3"">⚪ Klasyczna Biała Ramka Drewniana 30x40 cm – Uniwersalna Elegancja</h2>
<p data-path-to-node=""4"">Szukasz oprawy, która nigdy nie wyjdzie z mody? Biała, drewniana ramka w formacie 30x40 cm to <b data-path-to-node=""4"" data-index-in-node=""94"">aranżacyjny fundament</b>. Łączy w sobie naturalne ciepło drewna z czystością bieli, tworząc idealne tło dla Twoich ulubionych wspomnień, plakatów czy dyplomów.</p>
<h3 data-path-to-node=""5"">✨ Co sprawia, że ta ramka to ""must-have""?</h3>
<ul data-path-to-node=""6"">
<li>
<p data-path-to-node=""6,0,0""><b data-path-to-node=""6,0,0"" data-index-in-node=""0"">Szczere Drewno:</b> Solidna, drewniana listwa to gwarancja estetyki na najwyższym poziomie. Zapomnij o nietrwałych zamiennikach – poczuj jakość naturalnego materiału.</p>
</li>
<li>
<p data-path-to-node=""6,1,0""><b data-path-to-node=""6,1,0"" data-index-in-node=""0"">Uniwersalny Rozmiar:</b> Format 30x40 cm to idealny balans. Nie zajmuje całej ściany, a jednocześnie jest na tyle duży, by przyciągać wzrok i budować klimat pomieszczenia.</p>
</li>
<li>
<p data-path-to-node=""6,2,0""><b data-path-to-node=""6,2,0"" data-index-in-node=""0"">Bezpieczna Ekspozycja:</b> Zastosowanie <b data-path-to-node=""6,2,0"" data-index-in-node=""36"">plexi premium</b> sprawia, że ramka jest lekka i odporna na stłuczenia. To idealne rozwiązanie do korytarzy, pokoi dziecięcych czy sypialni.</p>
</li>
<li>
<p data-path-to-node=""6,3,0""><b data-path-to-node=""6,3,0"" data-index-in-node=""0"">Szwajcarska Precyzja:</b> Produkcja w Europie (Szwajcaria) to pewność, że narożniki są idealnie spasowane, a rama zachowa swój kształt przez długie lata.</p>
</li>
<li>
<p data-path-to-node=""6,4,0""><b data-path-to-node=""6,4,0"" data-index-in-node=""0"">Montaż w Kilka Chwil:</b> System łatwego otwierania pleców pozwala na błyskawiczną wymianę zawartości bez użycia siły i narzędzi.</p>
</li>
</ul>
<hr data-path-to-node=""7"">
<h3 data-path-to-node=""8"">🖼️ Inspiracje – jak ją wykorzystać?</h3>
<ul data-path-to-node=""9"">
<li>
<p data-path-to-node=""9,0,0""><b data-path-to-node=""9,0,0"" data-index-in-node=""0"">Domowe Biuro:</b> Stylowa oprawa dla certyfikatów, dyplomów lub motywacyjnych cytatów.</p>
</li>
<li>
<p data-path-to-node=""9,1,0""><b data-path-to-node=""9,1,0"" data-index-in-node=""0"">Zestawy Ścienne:</b> Idealny format do tworzenia ""Wall Gallery"" – połącz kilka ramek w pionie i poziomie dla spektakularnego efektu.</p>
</li>
<li>
<p data-path-to-node=""9,2,0""><b data-path-to-node=""9,2,0"" data-index-in-node=""0"">Pamiątki z wakacji:</b> Opraw zdjęcia w formacie A3 (lub mniejsze z passe-partout), aby zatrzymać letnie chwile na dłużej.</p>
</li>
</ul>
<hr data-path-to-node=""10"">
<h3 data-path-to-node=""11"">📐 Specyfikacja Techniczna:</h3>
<ul data-path-to-node=""12"">
<li>
<p data-path-to-node=""12,0,0""><b data-path-to-node=""12,0,0"" data-index-in-node=""0"">Wymiary wewnętrzne:</b> 30 × 40 cm</p>
</li>
<li>
<p data-path-to-node=""12,1,0""><b data-path-to-node=""12,1,0"" data-index-in-node=""0"">Materiał ramy:</b> Naturalne drewno</p>
</li>
<li>
<p data-path-to-node=""12,2,0""><b data-path-to-node=""12,2,0"" data-index-in-node=""0"">Kolor:</b> Śnieżna biel (mat)</p>
</li>
<li>
<p data-path-to-node=""12,3,0""><b data-path-to-node=""12,3,0"" data-index-in-node=""0"">Osłona:</b> Bezpieczna plexi premium (z obustronną folią ochronną)</p>
</li>
<li>
<p data-path-to-node=""12,4,0""><b data-path-to-node=""12,4,0"" data-index-in-node=""0"">Montaż:</b> Ścienny (pion / poziom)</p>
</li>
<li>
<p data-path-to-node=""12,5,0""><b data-path-to-node=""12,5,0"" data-index-in-node=""0"">Produkcja:</b> Szwajcaria 🇨🇭</p>
</li>
</ul>
<hr data-path-to-node=""13"">
<h3 data-path-to-node=""14"">💡 Mały detal, duża różnica:</h3>
<p data-path-to-node=""15"">Przed umieszczeniem grafiki w ramie, <b data-path-to-node=""15"" data-index-in-node=""37"">pamiętaj o usunięciu folii ochronnej z obu stron plexi</b>. Dopiero wtedy zobaczysz pełną przejrzystość i blask, który wydobędzie głębię kolorów z Twojego zdjęcia.</p>",REXIMPRIMIS,Home & Garden > Decor > Picture Frames,ramka,"color_white, material_wood, size_30x40, style_minimal, style_modern, style_scandinavian, tier_premium, type_frame, use_photo, use_poster, white_size_30x40",false,Title,Default Title,,,,,,,,F655033-3040,1.0,shopify,166,deny,manual,42.00,,true,true,,,,,5901912670587,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/30x40biala.jpg?v=1775236166,1,"",false,,,drewno; wood,biale; white,drewno; akryl; wood; acrylic,30-x-40-cm,nowoczesna; skandynawska; premium; loft,,powieszenie; sciana; hanging; wall,pozioma; pionowa; horizontal; vertical,prostokatna; rectangular,,,kg,,,active
ramka-drewniana-biala-30x40-cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/white30x40.png?v=1775751150,2,"",,,,,,,,,,,,,,,,,,
ramka-drewniana-biala-30x40-cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/white13x18_2.png?v=1775751150,3,"",,,,,,,,,,,,,,,,,,
ramka-drewniana-biala-21x30-cm,White Wood Frame 21x30 cm,"<p data-path-to-node=""1""> </p>
<h2 data-path-to-node=""3"">⚪ Klasyczna Biała Ramka Drewniana 21×30 cm (A4) – Naturalny Wybór</h2>
<p data-path-to-node=""4"">Szukasz idealnej oprawy dla swoich sukcesów lub ulubionych grafik? Biała, drewniana ramka w formacie A4 (21x30 cm) to połączenie <b data-index-in-node=""129"" data-path-to-node=""4"">szlachetnego materiału</b> z minimalistycznym designem. To nie tylko ramka – to eleganckie dopełnienie Twojej przestrzeni, które wprowadza ład i skandynawski spokój.</p>
<h3 data-path-to-node=""5"">✨ Dlaczego ta ramka to bestseller?</h3>
<ul data-path-to-node=""6"">
<li>
<p data-path-to-node=""6,0,0""><b data-index-in-node=""0"" data-path-to-node=""6,0,0"">Prawdziwe Drewno:</b> Solidna, drewniana konstrukcja to gwarancja trwałości i naturalnego wyglądu, który bije na głowę plastikowe zamienniki.</p>
</li>
<li>
<p data-path-to-node=""6,1,0""><b data-index-in-node=""0"" data-path-to-node=""6,1,0"">Idealny Format A4:</b> Skrojona pod standardowy wymiar kartek – idealna do dyplomów, podziękowań, certyfikatów oraz autorskich ilustracji.</p>
</li>
<li>
<p data-path-to-node=""6,2,0""><b data-index-in-node=""0"" data-path-to-node=""6,2,0"">Bezpieczna i Lekka:</b> Dzięki zastosowaniu <b data-index-in-node=""40"" data-path-to-node=""6,2,0"">plexi premium</b>, ramka jest odporna na stłuczenia i lekka. Możesz ją bezpiecznie powiesić nad łóżkiem lub postawić w miejscu dostępnym dla dzieci.</p>
</li>
<li>
<p data-path-to-node=""6,3,0""><b data-index-in-node=""0"" data-path-to-node=""6,3,0"">Szwajcarska Jakość:</b> Wyprodukowana w Europie z zachowaniem najwyższych standardów precyzji. Każdy narożnik jest idealnie dopasowany, co podkreśla jej charakter premium.</p>
</li>
<li>
<p data-path-to-node=""6,4,0""><b data-index-in-node=""0"" data-path-to-node=""6,4,0"">Wszechstronny Montaż:</b> Wyposażona w stabilną nóżkę do postawienia oraz uchwyty do zawieszenia. Prezentuj swoje treści w pionie lub poziomie.</p>
</li>
</ul>
<hr data-path-to-node=""7"">
<h3 data-path-to-node=""8"">🖼️ Inspiracje – gdzie sprawdzi się najlepiej?</h3>
<ul data-path-to-node=""9"">
<li>
<p data-path-to-node=""9,0,0""><b data-index-in-node=""0"" data-path-to-node=""9,0,0"">Domowe Biuro i Gabinet:</b> Profesjonalna ekspozycja certyfikatów i nagród na ścianie lub regale.</p>
</li>
<li>
<p data-path-to-node=""9,1,0""><b data-index-in-node=""0"" data-path-to-node=""9,1,0"">Pokój Dziecięcy:</b> Bezpieczna oprawa dla pierwszych rysunków i prac plastycznych Twojej pociechy.</p>
</li>
<li>
<p data-path-to-node=""9,2,0""><b data-index-in-node=""0"" data-path-to-node=""9,2,0"">Kuchnia i Jadalnia:</b> Stylowe miejsce na wydrukowane przepisy lub minimalistyczne grafiki botaniczne.</p>
</li>
</ul>
<hr data-path-to-node=""10"">
<h3 data-path-to-node=""11"">📐 Specyfikacja Techniczna:</h3>
<ul data-path-to-node=""12"">
<li>
<p data-path-to-node=""12,0,0""><b data-index-in-node=""0"" data-path-to-node=""12,0,0"">Wymiary wewnętrzne:</b> 21 × 30 cm (Format A4)</p>
</li>
<li>
<p data-path-to-node=""12,1,0""><b data-index-in-node=""0"" data-path-to-node=""12,1,0"">Materiał ramy:</b> Naturalne drewno</p>
</li>
<li>
<p data-path-to-node=""12,2,0""><b data-index-in-node=""0"" data-path-to-node=""12,2,0"">Kolor:</b> Klasyczna matowa biel</p>
</li>
<li>
<p data-path-to-node=""12,3,0""><b data-index-in-node=""0"" data-path-to-node=""12,3,0"">Osłona:</b> Bezpieczna plexi premium (z obustronną folią ochronną)</p>
</li>
<li>
<p data-path-to-node=""12,4,0""><b data-index-in-node=""0"" data-path-to-node=""12,4,0"">Montaż:</b> Stojący + ścienny</p>
</li>
<li>
<p data-path-to-node=""12,5,0""><b data-index-in-node=""0"" data-path-to-node=""12,5,0"">Orientacja:</b> Pionowa / Pozioma</p>
</li>
<li>
<p data-path-to-node=""12,6,0""><b data-index-in-node=""0"" data-path-to-node=""12,6,0"">Produkcja:</b> Szwajcaria 🇨🇭</p>
</li>
</ul>
<hr data-path-to-node=""13"">
<h3 data-path-to-node=""14"">💡 Ważna wskazówka:</h3>
<p data-path-to-node=""15"">Pamiętaj, aby przed włożeniem dokumentu lub zdjęcia <b data-index-in-node=""52"" data-path-to-node=""15"">usunąć folię ochronną z obu stron plexi</b>. To prosta czynność, która sprawi, że zawartość ramki odzyska pełną klarowność i głębię kolorów.</p>",REXIMPRIMIS,Home & Garden > Decor > Picture Frames,ramka,"color_white, material_wood, size_21x30, style_minimal, style_modern, style_scandinavian, tier_premium, type_frame, use_photo, use_poster, white_size_21x30",false,Title,Default Title,,,,,,,,F655033-2130,1.0,shopify,150,deny,manual,32.00,,true,true,,,,,5901912670570,https://cdn.shopify.com/s/files/1/1004/0311/8467/files/21x30biala.jpg?v=1775237107,1,"",false,,,drewno; wood,biale; white,drewno; akryl; wood; acrylic,31-x-30-cm,nowoczesna; skandynawska; premium; loft,,powieszenie; sciana; hanging; wall; wolnostojacy; free-standing,pozioma; pionowa; horizontal; vertical,prostokatna; rectangular,,,kg,,,active
